carton,plan,tag,status,program,in_tg1,in_tg2,in_tg3,in_tg4,in_tg5,in_tg6,in_tg7,targeting_generations
bhm_spiders_agn_lsdr10,1.0.37,1.0.37,core,bhm_spiders,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_hard,1.0.37,1.0.37,core,bhm_spiders,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_gaiadr3,1.0.37,1.0.37,non-core,bhm_spiders,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_tda,1.0.37,1.0.37,core,bhm_spiders,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_sep,1.0.37,1.0.37,non-core,bhm_spiders,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_med,1.0.37,1.0.37,core,bhm_aqmes,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_med_faint,1.0.37,1.0.37,non-core,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_wide2,1.0.37,1.0.37,core,bhm_aqmes,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_wide2_faint,1.0.37,1.0.37,non-core,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_bonus_core,1.0.37,1.0.37,non-core,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_bonus_bright,1.0.37,1.0.37,non-core,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_bonus_faint,1.0.37,1.0.37,non-core,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_colr_galaxies_lsdr10,1.0.38,1.0.38,ancillary,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_rm_core,1.0.48,1.0.48,core,bhm_rm,0,0,0,0,0,0,1,{dr20.manual}
bhm_rm_known_spec,1.0.48,1.0.48,core,bhm_rm,0,0,0,0,0,0,1,{dr20.manual}
bhm_rm_var,1.0.48,1.0.48,core,bhm_rm,0,0,0,0,0,0,1,{dr20.manual}
bhm_rm_ancillary,1.0.48,1.0.48,core,bhm_rm,0,0,0,0,0,0,1,{dr20.manual}
openfibertargets_bhm_racsradio_boss,1.2.0,1.2.7,openfiber,ancillary,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
openfibertargets_bhm_varagn_boss,1.2.0,1.2.7,openfiber,ancillary,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
openfibertargets_bhm_morexray_boss,1.2.0,1.2.7,openfiber,ancillary,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
openfibertargets_bhm_hightderates_psb_boss,1.2.0,1.2.7,openfiber,ancillary,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
openfibertargets_bhm_hightderates_qbs_boss,1.2.0,1.2.7,openfiber,ancillary,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
openfibertargets_bhm_quaia_boss,1.2.0,1.2.7,openfiber,ancillary,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
openfibertargets_bhm_lofarradio_boss,1.2.1,1.3.0,openfiber,ancillary,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_csc_boss_d3,1.2.4,1.3.3,non-core,bhm_csc,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_spiders_clusters_lsdr10_d3,1.2.4,1.3.3,core,bhm_spiders,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_gaiadr3_d3,1.2.4,1.3.3,non-core,bhm_spiders,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_sep_d3,1.2.4,1.3.3,non-core,bhm_spiders,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_wide1,1.2.4,1.3.3,core,bhm_aqmes,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_aqmes_wide1_faint,1.2.4,1.3.3,non-core,bhm_filler,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_gua_dark_d3,1.2.4,1.3.3,ancillary,bhm_filler,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_hard_d3,1.2.4,1.3.3,core,bhm_spiders,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_tda_d3,1.2.4,1.3.3,core,bhm_spiders,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_spiders_agn_lsdr10_d3,1.2.4,1.3.3,core,bhm_spiders,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
bhm_colr_galaxies_lsdr10_d3,1.2.16,1.3.15,ancillary,bhm_filler,0,0,0,0,0,2,0,"{v1.0.5,v1.0.5-boss-only}"
