carton,plan,tag,status,program,label
bhm_spiders_agn_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.5
bhm_spiders_agn_sep,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_agn_sep,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.2
bhm_spiders_agn_sep,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.3
bhm_spiders_agn_sep,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.5
bhm_spiders_agn_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_agn_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.2
bhm_spiders_agn_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.3
bhm_spiders_agn_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.5
bhm_spiders_agn_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_agn_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.2
bhm_spiders_agn_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.3
bhm_spiders_agn_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.5
bhm_spiders_agn_skymapperdr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_agn_skymapperdr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.2
bhm_spiders_agn_skymapperdr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.3
bhm_spiders_agn_skymapperdr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.5
bhm_spiders_agn_supercosmos,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_agn_supercosmos,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.2
bhm_spiders_agn_supercosmos,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.3
bhm_spiders_agn_supercosmos,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.5
bhm_spiders_clusters_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_clusters_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.2
bhm_spiders_clusters_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.3
bhm_spiders_clusters_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.5
bhm_spiders_clusters_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_clusters_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.2
bhm_spiders_clusters_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.3
bhm_spiders_clusters_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,v0.5.5
bhm_spiders_clusters_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_clusters_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.2
bhm_spiders_clusters_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.3
bhm_spiders_clusters_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.5
bhm_gua_bright,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.epsilon-7-core-0
bhm_gua_bright,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.2
bhm_gua_bright,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.3
bhm_gua_bright,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.5
bhm_gua_dark,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.epsilon-7-core-0
bhm_gua_dark,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.2
bhm_gua_dark,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.3
bhm_gua_dark,0.5.0,0.3.0,ancillary,bhm_filler,v0.5.5
bhm_rm_known_spec,0.5.0,0.3.0,core,bhm_rm,v0.5.epsilon-7-core-0
bhm_rm_known_spec,0.5.0,0.3.0,core,bhm_rm,v0.5.2
bhm_rm_known_spec,0.5.0,0.3.0,core,bhm_rm,v0.5.3
bhm_rm_known_spec,0.5.0,0.3.0,core,bhm_rm,v0.5.5
bhm_rm_core,0.5.0,0.3.0,core,bhm_rm,v0.5.epsilon-7-core-0
bhm_rm_core,0.5.0,0.3.0,core,bhm_rm,v0.5.2
bhm_rm_core,0.5.0,0.3.0,core,bhm_rm,v0.5.3
bhm_rm_core,0.5.0,0.3.0,core,bhm_rm,v0.5.5
bhm_rm_var,0.5.0,0.3.0,core,bhm_rm,v0.5.epsilon-7-core-0
bhm_rm_var,0.5.0,0.3.0,core,bhm_rm,v0.5.2
bhm_rm_var,0.5.0,0.3.0,core,bhm_rm,v0.5.3
bhm_rm_var,0.5.0,0.3.0,core,bhm_rm,v0.5.5
bhm_rm_ancillary,0.5.0,0.3.0,core,bhm_rm,v0.5.epsilon-7-core-0
bhm_rm_ancillary,0.5.0,0.3.0,core,bhm_rm,v0.5.2
bhm_rm_ancillary,0.5.0,0.3.0,core,bhm_rm,v0.5.3
bhm_rm_ancillary,0.5.0,0.3.0,core,bhm_rm,v0.5.5
bhm_aqmes_med,0.5.0,0.3.0,core,bhm_aqmes,v0.5.epsilon-7-core-0
bhm_aqmes_med,0.5.0,0.3.0,core,bhm_aqmes,v0.5.2
bhm_aqmes_med,0.5.0,0.3.0,core,bhm_aqmes,v0.5.3
bhm_aqmes_med,0.5.0,0.3.0,core,bhm_aqmes,v0.5.5
bhm_aqmes_med_faint,0.5.0,0.3.0,non-core,bhm_filler,v0.5.epsilon-7-core-0
bhm_aqmes_med_faint,0.5.0,0.3.0,non-core,bhm_filler,v0.5.2
bhm_aqmes_med_faint,0.5.0,0.3.0,non-core,bhm_filler,v0.5.3
bhm_aqmes_med_faint,0.5.0,0.3.0,non-core,bhm_filler,v0.5.5
bhm_csc_boss_dark,0.5.0,0.3.0,non-core,bhm_csc,v0.5.epsilon-7-core-0
bhm_csc_boss_dark,0.5.0,0.3.0,non-core,bhm_csc,v0.5.2
bhm_csc_boss_dark,0.5.0,0.3.0,non-core,bhm_csc,v0.5.3
bhm_csc_boss_dark,0.5.0,0.3.0,non-core,bhm_csc,v0.5.5
bhm_csc_boss_bright,0.5.0,0.3.0,non-core,bhm_csc,v0.5.epsilon-7-core-0
bhm_csc_boss_bright,0.5.0,0.3.0,non-core,bhm_csc,v0.5.2
bhm_csc_boss_bright,0.5.0,0.3.0,non-core,bhm_csc,v0.5.3
bhm_csc_boss_bright,0.5.0,0.3.0,non-core,bhm_csc,v0.5.5
bhm_csc_apogee,0.5.0,0.3.0,non-core,bhm_csc,v0.5.epsilon-7-core-0
openfibertargets_nov2020_11,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.epsilon-7-core-0
openfibertargets_nov2020_11,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.2
openfibertargets_nov2020_11,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.3
openfibertargets_nov2020_11,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.5
openfibertargets_nov2020_18,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.epsilon-7-core-0
openfibertargets_nov2020_18,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.2
openfibertargets_nov2020_18,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.3
openfibertargets_nov2020_18,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.5
openfibertargets_nov2020_26,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.epsilon-7-core-0
openfibertargets_nov2020_26,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.2
openfibertargets_nov2020_26,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.3
openfibertargets_nov2020_26,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.5
openfibertargets_nov2020_27,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.epsilon-7-core-0
openfibertargets_nov2020_27,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.2
openfibertargets_nov2020_27,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.3
openfibertargets_nov2020_27,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.5
openfibertargets_nov2020_30,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.epsilon-7-core-0
openfibertargets_nov2020_30,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.2
openfibertargets_nov2020_30,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.3
openfibertargets_nov2020_30,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.5
openfibertargets_nov2020_33,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.epsilon-7-core-0
openfibertargets_nov2020_33,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.2
openfibertargets_nov2020_33,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.3
openfibertargets_nov2020_33,0.5.3,0.3.4,open-fiber,open_fiber,v0.5.5
manual_bhm_spiders_comm,0.5.3,0.3.4,core,commissioning,v0.5.2
manual_bhm_spiders_comm,0.5.3,0.3.4,core,commissioning,v0.5.3
manual_bhm_spiders_comm,0.5.3,0.3.4,core,commissioning,v0.5.5
bhm_aqmes_bonus_bright,0.5.4,0.3.5,non-core,bhm_filler,v0.5.epsilon-7-core-0
bhm_aqmes_bonus_bright,0.5.4,0.3.5,non-core,bhm_filler,v0.5.2
bhm_aqmes_bonus_bright,0.5.4,0.3.5,non-core,bhm_filler,v0.5.3
bhm_aqmes_bonus_bright,0.5.4,0.3.5,non-core,bhm_filler,v0.5.5
bhm_aqmes_bonus_core,0.5.4,0.3.5,non-core,bhm_filler,v0.5.epsilon-7-core-0
bhm_aqmes_bonus_core,0.5.4,0.3.5,non-core,bhm_filler,v0.5.2
bhm_aqmes_bonus_core,0.5.4,0.3.5,non-core,bhm_filler,v0.5.3
bhm_aqmes_bonus_core,0.5.4,0.3.5,non-core,bhm_filler,v0.5.5
bhm_aqmes_bonus_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.epsilon-7-core-0
bhm_aqmes_bonus_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.2
bhm_aqmes_bonus_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.3
bhm_aqmes_bonus_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.5
bhm_aqmes_wide2,0.5.4,0.3.5,core,bhm_aqmes,v0.5.epsilon-7-core-0
bhm_aqmes_wide2,0.5.4,0.3.5,core,bhm_aqmes,v0.5.2
bhm_aqmes_wide2,0.5.4,0.3.5,core,bhm_aqmes,v0.5.3
bhm_aqmes_wide2,0.5.4,0.3.5,core,bhm_aqmes,v0.5.5
bhm_aqmes_wide2_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.epsilon-7-core-0
bhm_aqmes_wide2_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.2
bhm_aqmes_wide2_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.3
bhm_aqmes_wide2_faint,0.5.4,0.3.5,non-core,bhm_filler,v0.5.5
bhm_csc_boss,0.5.15,0.3.14,non-core,bhm_csc,v0.5.2
bhm_csc_boss,0.5.15,0.3.14,non-core,bhm_csc,v0.5.3
bhm_csc_boss,0.5.15,0.3.14,non-core,bhm_csc,v0.5.5
bhm_csc_apogee,0.5.15,0.3.14,non-core,bhm_csc,v0.5.2
bhm_csc_apogee,0.5.15,0.3.14,non-core,bhm_csc,v0.5.3
bhm_csc_apogee,0.5.15,0.3.14,non-core,bhm_csc,v0.5.5
bhm_colr_galaxies_lsdr8,0.5.16,0.3.15,ancillary,bhm_filler,v0.5.2
bhm_colr_galaxies_lsdr8,0.5.16,0.3.15,ancillary,bhm_filler,v0.5.3
bhm_colr_galaxies_lsdr8,0.5.16,0.3.15,ancillary,bhm_filler,v0.5.5
